epoch,loss,val_loss
0,1.06710005714,0.944378610831
1,1.02638341935,0.666894609513
2,1.00958186792,0.682957275385
3,0.992608456434,0.576366101082
4,0.979464178374,0.63841873934
5,0.976767358884,0.985470172817
6,0.967163878384,0.721394734538
7,0.959506503577,0.700759081319
8,0.964009637999,0.633133047343
9,0.957684286897,0.610790369889
10,0.946148657306,0.631398230791
11,0.952292111139,0.633761351314
12,0.942065507425,0.64403298539
13,0.933251677197,0.674586052856
14,0.934355914441,0.644999837014
15,0.924136471055,0.573245944432
16,0.926941114024,0.623322318388
17,0.929570905465,0.640109164141
18,0.921879915286,0.621859621116
